title,type,release_year,age_certification,runtime,genres,production_countries,seasons,_id,imdb_score,imdb_votes
Sailor Moon Crystal,SHOW,2014,TV-14,24,"['scifi', 'animation', 'action', 'comedy', 'drama', 'fantasy', 'romance', 'family']",['JP'],4,24992,7.8,2115
Cloudy with a Chance of Meatballs 2,MOVIE,2013,PG,95,"['comedy', 'family', 'fantasy', 'scifi', 'drama', 'animation']",['US'],null,85966,6.3,100637
Lovesick,SHOW,2014,TV-MA,24,"['comedy', 'european']",['GB'],3,51832,8.1,19259
Shtisel,SHOW,2013,TV-14,48,['drama'],['IL'],3,69894,8.6,6958
The Chase,SHOW,2013,TV-PG,44,['reality'],['US'],5,77336,7.5,886
Penguins of Madagascar,MOVIE,2014,PG,92,"['comedy', 'animation', 'family', 'scifi']",['US'],null,11658,6.6,88708
Redemption,MOVIE,2013,R,100,"['thriller', 'action', 'european']","['US', 'GB']",null,,,
Texas Chainsaw 3D,MOVIE,2013,R,92,"['horror', 'thriller']",['US'],null,72315,4.8,49312
Jackass Presents: Bad Grandpa .5,MOVIE,2014,PG-13,86,['comedy'],['US'],null,66424,6.3,
The Night Shift,SHOW,2014,TV-14,42,"['drama', 'romance', 'fantasy', 'horror', 'action', 'animation', 'comedy']",['US'],4,83202,7.5,12069
The Next Step,SHOW,2013,TV-G,24,"['drama', 'romance', 'family']",['CA'],7,74744,5.9,1928
Mr. Peabody & Sherman,MOVIE,2014,PG,92,"['action', 'family', 'animation', 'history', 'scifi', 'romance', 'comedy', 'fantasy']",['US'],null,64835,6.8,68790
Vampire Academy,MOVIE,2014,PG-13,104,"['fantasy', 'horror', 'thriller', 'action', 'comedy', 'drama']",['US'],null,86821,5.4,54190
"I, Frankenstein",MOVIE,2014,PG-13,92,"['horror', 'thriller', 'scifi', 'action', 'fantasy']","['AU', 'US']",null,18377,5.1,80733
Seventh Son,MOVIE,2014,PG-13,120,"['fantasy', 'action']","['US', 'GB', 'CN', 'CA']",null,21096,5.5,76395
Velvet,SHOW,2014,TV-14,57,"['drama', 'romance', 'thriller', 'action', 'crime', 'european']",['ES'],4,55402,8.1,6018
Zach Stone Is Gonna Be Famous,SHOW,2013,TV-PG,20,['comedy'],['US'],1,48277,8.3,3616
Sabotage,MOVIE,2014,R,109,"['drama', 'thriller', 'western', 'action', 'crime']",['US'],null,42334,5.7,63007
The Irregular at Magic High School,SHOW,2014,TV-14,24,"['scifi', 'romance', 'animation', 'action', 'drama', 'fantasy']",['JP'],2,74528,7.1,3273
The Railway Man,MOVIE,2013,R,116,"['drama', 'european', 'war', 'romance']","['GB', 'AU', 'CH']",null,58107,7.1,39743
Resurrection: Ertugrul,SHOW,2014,TV-14,57,"['war', 'action', 'drama', 'history']",['TR'],5,20258,7.9,35515
Life of Crime,MOVIE,2013,R,94,"['comedy', 'crime']",['US'],null,63207,5.8,18793
Get on Up,MOVIE,2014,PG-13,139,"['drama', 'music']",['US'],null,73602,6.9,24456
